Дата,Статья,Контрагент,Направление,Сумма
2026-09-22,ФОТ,ООО «Тендер»,поступление,493000.0
2026-09-20,ПО и сервисы,ИП Смирнов,списание,784000.0
2026-09-18,ПО и сервисы,ООО «Клиент-Плюс»,поступление,1415000.0
2026-09-16,ФОТ,ИП Смирнов,поступление,1446000.0
2026-09-14,Подрядчики,ИП Ковалёва,списание,668000.0
2026-09-12,Реклама,ЗАО «Аренда-Центр»,списание,1537000.0
2026-09-10,Подрядчики,ООО «Тендер»,поступление,1483000.0
2026-09-08,Подрядчики,АО «Фриланс-Хаб»,списание,774000.0
2026-09-06,Реклама,ООО «Яндекс»,поступление,709000.0
2026-09-04,ФОТ,ИП Смирнов,списание,1438000.0
2026-09-02,Подрядчики,АО «Фриланс-Хаб»,списание,599000.0
